C/M	gamma	gamma_u	gamma_l
0	4.2563	4.2563	4.2563
0.11111	3.892	3.892	3.892
0.22222	3.4826	3.4826	3.4826
0.33333	3.0689	3.0689	3.0689
0.44444	2.6958	2.6958	2.6958
0.55556	2.3596	2.3596	2.3596
0.66667	2.0328	2.0328	2.0328
0.77778	1.8564	1.8564	1.8564
0.88889	1.6893	1.6893	1.6893
1	1.6284	1.6284	1.6284
