sigma_C sigma_C_100
7.774742 31.831832
7.837934 31.931932
7.901479 32.032032
7.965378 32.132132
8.029632 32.232232
8.094243 32.332332
8.159212 32.432432
8.224539 32.532533
8.290227 32.632633
8.356276 32.732733
8.422688 32.832833
8.489464 32.932933
8.556604 33.033033
8.624111 33.133133
8.691986 33.233233
8.760229 33.333333
8.828843 33.433433
8.897827 33.533534
8.967184 33.633634
9.036915 33.733734
9.107021 33.833834
9.177504 33.933934
9.248364 34.034034
9.319603 34.134134
9.391221 34.234234
9.463222 34.334334
9.535605 34.434434
9.608371 34.534535
9.681524 34.634635
9.755062 34.734735
9.828989 34.834835
9.903304 34.934935
9.978010 35.035035
10.053108 35.135135
10.128598 35.235235
10.204483 35.335335
10.280763 35.435435
10.357441 35.535536
10.434516 35.635636
10.511992 35.735736
10.589868 35.835836
10.668146 35.935936
10.746828 36.036036
10.825915 36.136136
10.905407 36.236236
10.985308 36.336336
11.065617 36.436436
11.146337 36.536537
11.227468 36.636637
11.309012 36.736737
11.390970 36.836837
11.473344 36.936937
11.556135 37.037037
11.639345 37.137137
11.722974 37.237237
11.807025 37.337337
11.891498 37.437437
11.976394 37.537538
12.061716 37.637638
12.147465 37.737738
12.233642 37.837838
12.320249 37.937938
12.407286 38.038038
12.494755 38.138138
12.582659 38.238238
12.670997 38.338338
12.759772 38.438438
12.848985 38.538539
12.938637 38.638639
13.028730 38.738739
13.119265 38.838839
13.210244 38.938939
13.301668 39.039039
13.393538 39.139139
13.485857 39.239239
13.578625 39.339339
13.671844 39.439439
13.765515 39.539540
13.859640 39.639640
13.954220 39.739740
14.049258 39.839840
14.144753 39.939940
14.240708 40.040040
14.337124 40.140140
14.434003 40.240240
14.531347 40.340340
14.629155 40.440440
14.727431 40.540541
14.826176 40.640641
14.925391 40.740741
15.025078 40.840841
15.125238 40.940941
15.225872 41.041041
15.326983 41.141141
15.428572 41.241241
15.530640 41.341341
15.633189 41.441441
15.736220 41.541542
15.839735 41.641642
15.943736 41.741742
16.048224 41.841842
16.153200 41.941942
16.258667 42.042042
16.364625 42.142142
16.471077 42.242242
16.578023 42.342342
16.685466 42.442442
16.793408 42.542543
16.901848 42.642643
17.010790 42.742743
17.120235 42.842843
17.230185 42.942943
17.340640 43.043043
17.451603 43.143143
17.563076 43.243243
17.675059 43.343343
17.787555 43.443443
17.900565 43.543544
18.014091 43.643644
18.128134 43.743744
18.242696 43.843844
18.357779 43.943944
18.473385 44.044044
18.589514 44.144144
18.706170 44.244244
18.823352 44.344344
18.941064 44.444444
19.059306 44.544545
19.178081 44.644645
19.297390 44.744745
19.417235 44.844845
19.537617 44.944945
19.658539 45.045045
19.780001 45.145145
19.902006 45.245245
20.024555 45.345345
20.147650 45.445445
20.271293 45.545546
20.395486 45.645646
20.520230 45.745746
20.645527 45.845846
20.771378 45.945946
20.897786 46.046046
21.024753 46.146146
21.152279 46.246246
21.280367 46.346346
21.409018 46.446446
21.538235 46.546547
21.668019 46.646647
21.798372 46.746747
21.929296 46.846847
22.060792 46.946947
22.192862 47.047047
22.325508 47.147147
22.458733 47.247247
22.592537 47.347347
22.726922 47.447447
22.861891 47.547548
22.997445 47.647648
23.133586 47.747748
23.270316 47.847848
23.407637 47.947948
23.545550 48.048048
23.684058 48.148148
23.823162 48.248248
23.962864 48.348348
24.103167 48.448448
24.244071 48.548549
24.385579 48.648649
24.527693 48.748749
24.670415 48.848849
24.813746 48.948949
24.957688 49.049049
25.102244 49.149149
25.247415 49.249249
25.393204 49.349349
25.539611 49.449449
25.686640 49.549550
25.834291 49.649650
25.982568 49.749750
26.131471 49.849850
26.281004 49.949950
26.431167 50.050050
26.581963 50.150150
26.733394 50.250250
26.885462 50.350350
27.038169 50.450450
27.191516 50.550551
27.345506 50.650651
27.500141 50.750751
27.655423 50.850851
27.811353 50.950951
27.967935 51.051051
28.125169 51.151151
28.283059 51.251251
28.441605 51.351351
28.600810 51.451451
28.760677 51.551552
28.921206 51.651652
29.082401 51.751752
29.244263 51.851852
29.406795 51.951952
29.569998 52.052052
29.733874 52.152152
29.898426 52.252252
30.063656 52.352352
30.229566 52.452452
30.396158 52.552553
30.563434 52.652653
30.731396 52.752753
30.900047 52.852853
31.069388 52.952953
31.239421 53.053053
31.410150 53.153153
31.581576 53.253253
31.753701 53.353353
31.926527 53.453453
