sigma_C gamma_100
7.774742 3.204429
7.837934 3.200866
7.901479 3.197305
7.965378 3.193747
8.029632 3.190191
8.094243 3.186639
8.159212 3.183089
8.224539 3.179542
8.290227 3.175998
8.356276 3.172457
8.422688 3.168918
8.489464 3.165382
8.556604 3.161849
8.624111 3.158319
8.691986 3.154791
8.760229 3.151267
8.828843 3.147745
8.897827 3.144226
8.967184 3.140709
9.036915 3.137196
9.107021 3.133685
9.177504 3.130177
9.248364 3.126671
9.319603 3.123169
9.391221 3.119669
9.463222 3.116172
9.535605 3.112678
9.608371 3.109187
9.681524 3.105698
9.755062 3.102212
9.828989 3.098729
9.903304 3.095249
9.978010 3.091772
10.053108 3.088297
10.128598 3.084825
10.204483 3.081356
10.280763 3.077890
10.357441 3.074426
10.434516 3.070965
10.511992 3.067507
10.589868 3.064052
10.668146 3.060599
10.746828 3.057150
10.825915 3.053703
10.905407 3.050259
10.985308 3.046817
11.065617 3.043379
11.146337 3.039943
11.227468 3.036510
11.309012 3.033080
11.390970 3.029652
11.473344 3.026228
11.556135 3.022806
11.639345 3.019387
11.722974 3.015970
11.807025 3.012557
11.891498 3.009146
11.976394 3.005738
12.061716 3.002333
12.147465 2.998930
12.233642 2.995531
12.320249 2.992134
12.407286 2.988740
12.494755 2.985348
12.582659 2.981960
12.670997 2.978574
12.759772 2.975191
12.848985 2.971811
12.938637 2.968433
13.028730 2.965059
13.119265 2.961687
13.210244 2.958318
13.301668 2.954951
13.393538 2.951588
13.485857 2.948227
13.578625 2.944869
13.671844 2.941514
13.765515 2.938161
13.859640 2.934812
13.954220 2.931465
14.049258 2.928121
14.144753 2.924779
14.240708 2.921441
14.337124 2.918105
14.434003 2.914772
14.531347 2.911442
14.629155 2.908115
14.727431 2.904790
14.826176 2.901468
14.925391 2.898149
15.025078 2.894833
15.125238 2.891519
15.225872 2.888208
15.326983 2.884900
15.428572 2.881595
15.530640 2.878293
15.633189 2.874993
15.736220 2.871696
15.839735 2.868402
15.943736 2.865111
16.048224 2.861822
16.153200 2.858537
16.258667 2.855254
16.364625 2.851974
16.471077 2.848696
16.578023 2.845422
16.685466 2.842150
16.793408 2.838881
16.901848 2.835614
17.010790 2.832351
17.120235 2.829090
17.230185 2.825832
17.340640 2.822577
17.451603 2.819325
17.563076 2.816075
17.675059 2.812828
17.787555 2.809584
17.900565 2.806343
18.014091 2.803104
18.128134 2.799869
18.242696 2.796636
18.357779 2.793405
18.473385 2.790178
18.589514 2.786953
18.706170 2.783732
18.823352 2.780513
18.941064 2.777296
